202,Happy Number,Easy, https://leetcode.com/problems/happy-number
322,Coin Change,Medium, https://leetcode.com/problems/coin-change
1328,Break a Palindrome,Medium, https://leetcode.com/problems/break-a-palindrome
31,Next Permutation,Medium, https://leetcode.com/problems/next-permutation
17,Letter Combinations of a Phone Number,Medium, https://leetcode.com/problems/letter-combinations-of-a-phone-number
200,Number of Islands,Medium, https://leetcode.com/problems/number-of-islands
5,Longest Palindromic Substring,Medium, https://leetcode.com/problems/longest-palindromic-substring
33,Search in Rotated Sorted Array,Medium, https://leetcode.com/problems/search-in-rotated-sorted-array
146,LRU Cache,Medium, https://leetcode.com/problems/lru-cache
79,Word Search,Medium, https://leetcode.com/problems/word-search
215,Kth Largest Element in an Array,Medium, https://leetcode.com/problems/kth-largest-element-in-an-array
39,Combination Sum,Medium, https://leetcode.com/problems/combination-sum
273,Integer to English Words,Hard, https://leetcode.com/problems/integer-to-english-words
4,Median of Two Sorted Arrays,Hard, https://leetcode.com/problems/median-of-two-sorted-arrays
20,Valid Parentheses,Easy, https://leetcode.com/problems/valid-parentheses
121,Best Time to Buy and Sell Stock,Easy, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
9,Palindrome Number,Easy, https://leetcode.com/problems/palindrome-number
1,Two Sum,Easy, https://leetcode.com/problems/two-sum
7,Reverse Integer,Easy, https://leetcode.com/problems/reverse-integer
53,Maximum Subarray,Easy, https://leetcode.com/problems/maximum-subarray
349,Intersection of Two Arrays,Easy, https://leetcode.com/problems/intersection-of-two-arrays
387,First Unique Character in a String,Easy, https://leetcode.com/problems/first-unique-character-in-a-string
